index,core_people_number,important_node_number,live_apple,live_people_number,live_stay_fre,live_weekday_day_time,live_weekday_eve_time,live_weekend_day_time,live_weekend_eve_time,no_core_people_number,noimportant_node_number,sx_29_01,sx_29_02,sx_29_03,sx_29_04,sx_29_05,sx_29_06,sx_29_07,sx_29_08,sx_29_09,sx_29_10,sx_29_11,sx_29_12,sx_29_13,sx_29_14,sx_29_15,sx_29_16,visit_apple,visit_people_number,visit_stay_fre,visit_weekday_day_time,visit_weekday_eve_time,visit_weekend_day_time,visit_weekend_eve_time,walk_frequency,web_time_business,web_time_enjoy,web_time_life,web_time_other,work_apple,work_people_number,work_stay_fre,work_weekday_day_time,work_weekday_eve_time,work_weekend_day_time,work_weekend_eve_time
104599,487,NA,1,7,913,2300382,1401527,956033,427802,17,NA,NA,NA,1,5,40,67,124,83,43,33,26,15,23,8,3,16,159,494,913,3359817,452983,3846517,305449,NA,17065669,15706788,24376263,33957731,1,3,913,54686,0,0,0
26015,84,NA,1,8,199,599,282,60,0,59,NA,NA,NA,NA,3,24,38,20,17,13,10,3,6,3,1,NA,4,41,126,199,353006,33615,56585,10440,NA,2019491,3429597,1639368,5077296,3,9,199,545,352,457,320
76771,95,NA,NA,5,332,2591986,1323189,792182,491780,12,5,NA,NA,NA,4,6,15,13,9,14,7,11,5,3,2,NA,7,13,98,332,1440515,534863,812633,251993,355,1479669,2884238,8661645,5715500,NA,4,332,575395,92958,126405,28265
69674,186,NA,20,56,503,24509017,11524777,11456801,4608554,25,NA,NA,NA,NA,4,15,23,39,29,20,21,19,6,7,7,NA,6,37,137,503,2197950,640508,2947244,565328,NA,1766384,2992583,3907207,7137141,3,18,503,3563144,630311,1487715,391034
109541,1232,NA,78,383,2810,159837012,76358783,67053812,28983675,151,2,NA,NA,2,26,131,213,206,156,130,132,81,43,27,20,4,70,239,912,2810,15944938,4247281,7530973,1865798,NA,23029975,34942481,45596285,63322376,21,88,2810,21874616,1835876,5118379,774419
78135,1840,NA,16,305,3494,122032638,58297785,50258940,24084643,829,NA,NA,NA,5,29,145,269,307,284,237,232,174,79,52,41,22,171,141,2175,3494,10705431,2497838,4904044,1090490,NA,15540928,24649403,26584350,41220489,8,189,3494,14100352,2101747,4243617,802153
97411,2065,NA,190,937,5590,359775736,199493135,169081675,78799550,316,6,NA,NA,1,21,211,299,349,284,196,202,145,92,89,37,42,133,356,1329,5590,29230062,10264278,20195986,5845249,2,37347347,41796078,64399062,90313233,27,115,5590,24217773,3279861,6399305,1044175
85303,258,NA,6,53,841,15112237,5040547,6726460,2082174,60,NA,NA,NA,NA,3,40,55,63,37,32,29,8,4,5,2,4,11,34,247,841,4754548,772402,1902042,400351,NA,5949689,8999974,8407874,15612900,3,18,841,3300960,163252,689582,75215
95283,647,NA,45,171,2360,57575077,31748239,25824431,11873684,63,1,NA,NA,1,11,71,120,116,84,71,67,35,31,19,11,1,22,123,515,2360,12348303,4794569,7035262,2170671,2250,13793259,18581576,26464352,36908088,5,24,2360,5450779,971240,1213815,319414
98780,2729,NA,65,704,6954,232725684,89136969,90941618,33962078,646,NA,NA,NA,5,43,241,358,358,353,335,344,210,145,113,76,48,202,269,2436,6954,32956921,5862211,17646757,3647227,NA,30950861,41887622,57697254,79952383,18,235,6954,59183276,4176708,10677690,1071099
